Produtos;Média de VLR_MERCADORIA
A9X6X3-23/4 NGGNO 3154; 157.229,68 
AC CRISTAL VHP GR ME; 116.777,49 
ACALMADOR DE ESCORIA TECSLAG 1550; 39.475,00 
AÇUCAR; 81.169,50 
AÇUCAR BRUTO CANA VHP A GRANEL; 79.101,58 
ACUCAR BRUTO DE CANA VHP; 95.901,64 
ACUCAR BRUTO DE CANA VHP - 50KG; 93.526,67 
AÇUCAR CRISTAL; 120.208,13 
AÇUCAR CRISTAL VVHP 1 EMB 1200KG - BIG BAGS; 77.418,00 
ACUCAR CRISTALIZ PURO CRU CANA VHP - GR; 84.780,52 
ACUCAR VHP; 102.102,16 
ACUÇAR VHP; 112.905,06 
ADAP MAQ PRO S100886(I); 16.980,30 
ADITIVO 01 - A GRANEL; 336.114,37 
ADITIVO LIGANTE-NC02 25KG; 398.471,13 
ADP ULTRAQUICKNGF.10/16 150; 208.452,75 
ADUBO 20 00 20; 107.333,15 
ADUBO BENTONITA; 78.176,00 
ADUBO FERTILIZANTE; 94.632,87 
ADUBO GEN CLORETO DE POTASSIO-SOL. EM AGUA 60%(KCL 60%); 90.309,27 
ADUBO GEN SSP 00.19 (19% P2O5 CNA + H20 - 16% P2O5 H20 - 16% Ca - 10% S; 57.506,45 
AFR SOLIDO BIOMASSA PO DE SERRA; 203,73 
AFR SOLIDO RESIDUO PO DE VARREDURA; 330,21 
AGREGADO DE ESCORIA DE CARBONO DE 0 A 90M; 1.170,75 
AGREGADO SIDERURGICO; 160,54 
AGREGADO WAELZ - GRN - NX JF; 0,29 
AGROFFOS 100 GR; 5.424,20 
AGROFFOS RAIZES - GR; 11.294,83 
AGROS 2.0.2.9; 61.493,89 
AGROSILICIO PLUS P/INDUSTRIA; 6.099,68 
AGROSILICIO PLUS PV GR; 2.828,00 
AGROSILICIO S GR; 5.314,32 
AL 200; 6.651,90 
AL.PRIM. P1020A PUR.MIN. 99.7%-LINGOTES; 516.318,38 
AL.PRIM. P1535A PUR.MIN. 99.5%-LINGOTES; 544.155,70 
ALGODAO EM PLUMA; 214.454,20 
ALUM.CROMITA/ OXID. CROMO CROMITA; 5.896,05 
ALUMINA; 58.277,44 
ALUMINA DE VARRICAO; 20,63 
ALUMINA OPALN; 127.072,75 
ALUMINA PRIMARIA; 4.225,77 
ALUMINIO FLUORETADA PRIMARIA; 4.002,00 
ALUMINIO GOTA; 355.786,71 
ALUMINIO GOTAO; 455.898,62 
ALUMINIO GOTAO DEOX (120 G); 440.882,02 
ALUMINIO GOTAO GRANEL; 449.773,18 
ALUMINIO GRAN 95% BIG BAG; 389.125,85 
ALUMINIO GRANULADO; 86.285,42 
ALUTAP 07 M; 77.150,00 
AM00850575 - 255.27X18.42-VM130HCMS-PE-L2-12192-14020; 127.523,52 
AM00876635 - 346,08x15,88 VM110HCSS R3MOD PL 5CT; 134.194,25 
AM00876715 - 346,08x15,88 VM110HCSS R3MOD PL 5CT; 126.607,75 
AM00876810 - 346,08X15,88 VM110HCSSR3MOD PL 5CT; 132.738,00 
AM00892673 - 168,3x22,86 X65QO 11700-12600 5L2PL FL; 134.855,51 
AMOSTRA DE ALUMINA; 40,12 
ANC AISI304 Y190-8-190-80; 221.140,40 
ANC V01105810 AISI310 124510; 292.247,68 
ANC Y02-55-140 AISI310 124513 IN; 573.809,86 
ANEL AGSSBR 100; 124.289,82 
ANEL AGSSBR 250; 113.199,32 
ANEL AGSSBR 400; 134.632,06 
ANEL ELASTICO E 12; 37.226,63 
ANEL INJ GAS GI-CFL0001 (P); 5.701,17 
ANEL VED MP3000 143,0 X 81,0 X3,0; 7.623,30 
ANEL-DE-TRAVA-INTERNO ATIEPDM 100; 114.760,50 
ANEL-EPDM AGSEPDM 600; 116.504,76 
ANEL-NITRILICO AGSNBR 1000; 555.095,42 
ANODO PRIMARIO; 4.034,00 
ANOX-P-BR 25 KG PP L B11 J472; 427.884,94 
ANTRACITO; 41.133,31 
ANTRACITO FINO DONBASS UCRANIA - LONGOS; 36.287,38 
ANTRACITO FINO DONBASS UCRANIA DB; 35.125,73 
ANTRACITO PERU IMI 0 A 15MM MARITIMO; 57.589,39 
ANTRACITO PERUANO; 25.886,89 
ANTRACITO SESUVECA; 23.246,60 
APARAS DE BLOCO 96%; 102.298,44 
APARELHO GIRATORIO AGS 360G CSP.4TON P EMP-0021 N; 56.537,64 
APATITA IMPORTADA MOIDA; 24.410,81 
AREIA; 289.660,65 
AREIA 35 45 SECA A GRANEL; 4.586,22 
AREIA 42 48 SECA A GRANEL; 6.635,52 
AREIA A1; 1.884,66 
AREIA AQ MD UMIDA A GRANEL; 4.400,00 
AREIA CRISTAL; 28.860,00 
AREIA GROSSA; 1.563,75 
AREIA LAVADA; 11.696,99 
AREIA LAVADA FINA; 750,00 
AREIA LAVRADA UMIDA GRANEL; 10.256,71 
AREIA LEITO FLUIDIZADO 0,6 A 1,20 MM; 7.024,36 
AREIA NATURAL PENEIRADA; 7.500,00 
AREIA P/. CALDEIRA LEITO FLUIDIZADO BORBULHAN; 6.637,18 
AREIA QUART INDL AV- 40 SECA; 195.789,55 
AREIA QUART INDL AV-40 SECA; 4.126,26 
AREIA QUARTZOSA INDUSTRIAL; 6.886,96 
AREIA QUARTZOSA INDUSTRIAL AQ-50-350 SG; 3.780,59 
AREIA REFRATARIA ESCOPAN 4 R8G; 192.604,40 
AREIA SATURADA  - RESIDUO INDUSTRIAL; 3,95 
ARGILA; 9.773,63 
ARGILA A GRANEL; 7.752,00 
ARGILA A-50 (IN-NATURA); 5.787,83 
ARGILA A-50 IN-NATURA; 5.176,05 
ARGILA BENTONITCA AV 72; 4.047,00 
ARGILA BENTONITICA VERDE; 0,40 
ARGILA BETONITA; 39.004,75 
ARGILA PLASTICA STC CB; 1.787,23 
ARGILA ROSA SECA; 3.207,11 
ARGILA SODICA ATIVADA VC A GRANEL; 19.355,02 
ARR VAL GAV SG-BCA0005(P); 93.263,66 
ARRUELA ABMF.10/16/25 800; 242.225,19 
ARRUELA ARR304 M8; 5.530,65 
AS1019 XGCH 4041; 73.209,47 
AS1420C35  XGCP 4033; 127.115,91 
AS1-R NGGBO 3079; 97.142,34 
ASSEMBLY-0005B FBG 26726; 229.621,72 
B. RED . MEC I; 253.398,33 
B220 MGGMR 2743 CB; 343.698,68 
B322 MGGHA 0071 CB; 451.918,99 
B322 MGGHA 2798 CB; 316.842,27 
B322 MGGHA 8134 CB; 424.886,00 
B322L300 MGGHA 2816 CB; 456.525,05 
B620 MGGMR 2743 CB; 314.829,11 
B620 MGGSA 8141 CB; 231.572,98 
B622 MGGHA 0071 CB; 338.939,24 
B622 MGGHA 2818 CB; 438.790,05 
B622 MGGHA 8132 CB; 356.077,58 
BAGACO; 1.665,60 
BAGAÇO DE CANA; 33.804,17 
BAGACO DE CAROCO DE ACAI; 1.360,00 
BAIONETA VAL GAV 6026021 (P); 83.588,53 
BAMBU CAVACO; 4.146,53 
BAMIN DSO 65; 103.884,15 
BANHO ELETROLITICO PRIMARIO; 91.059,84 
BARCHT 3X5/16 A36 6M fx1,05T; 84.712,02 
BARITA; 10.632,88 
BARRA TREFILADA INDUSTRIAL 38,10 MM 1020; 31.594,07 
BARRA TREFILADA INDUSTRIAL BITOLA; 24.014,28 
BARRA TREFILADA INDUSTRIAL BITOLA 17,46MM ACO; 37.051,86 
BARRA TRFILADA INDUSTRIAL 50,80 MM 1020; 11.498,54 
BARRALIN PLUS - SPP20; 76.382,59 
BARRED P/BTG 25mm BTG 6,25m 2t; 74.282,05 
BARRILHA (IMPORTADA); 38.631,25 
BARRILHA VIDREIRA; 76.639,73 
BARU FRUTO CASCA KG; 14.196,00 
BATENTE VAL GAV G025866 (P); 91.349,57 
BAUXITA; 5.358,86 
BAUXITA  50/5 P2MF; 21.125,05 
BAUXITA  C-90 50/10; 297,40 
BAUXITA 55 50/6; 7.920,65 
BAUXITA BA-60 6/0; 10.804,62 
BAUXITA C 90 A; 87.823,80 
BAUXITA FERROSA PENEIRADA FINO; 4.904,50 
BAUXITA IN NATURA; 16.875,33 
BAUXITA INSERVIVEL; 377,23 
BCH 130 X 11; 229.119,11 
BCH 130 X 15; 258.909,49 
BCH 130 X 18; 242.530,78 
BCH 3 1/2; 149.303,13 
BCH 60 X 8 MM; 258.770,08 
BD120964 XGCM 7001; 283.098,78 
BENTONSIL; 5.420,09 
BICA CORRIDA; 35.870,00 
BIG BAG; 60.160,00 
BIG BAG FUNIL FUNDO FECHADO 1500KG; 8.000,00 
BIOMASSA DE CAROÇO DE AÇAI 16%; 9.535,68 
"BIOMASSA DE CAROÇO DE AÇAI; 16%"; 9.673,18 
BIOMASSA-BAGAÇO CANA DE AÇÚCAR; 2.400,00 
BIOMAX PREMIUM LIQUIDO SOJA 1,8L - 120DS; 23.489,03 
BL. CONC. 14X19X39 FD; 5.876,80 
BLBL 147 B C BR 2600X1800; 74.264,69 
BLENDADO; 848,70 
BLOCO DE AÇO 230x280mm 220 8,000m; 110.702,76 
BLOCO DE ACO 230x280mm 220 9,300; 97.257,58 
BLOCO DE AÇO 250x320mm 220 8,000m; 102.976,41 
BLOCO DE CARBONO LATERAL SG M IT 16; 563.046,75 
BLOCO SIDEWALL; 522.824,14 
BOBINA DE  AÇO GALVANIZADA A QUENTE; 202.686,83 
BOBINA DE AÇO ELETROGALVANIZADA; 221.625,21 
BOBINA DE AÇO GALVANIZADA; 213.195,30 
BOBINA DE AÇO GALVANIZADA A QUENTE; 198.829,75 
BOBINA DE AÇO LAM A QUENTE DECAPADA; 205.622,90 
BOBINA DE AÇO LAMINADA A FRIO; 226.046,64 
BOBINA DE AÇO LAMINADA A QUENTE; 173.253,23 
BOBINA DE ACO PARA FINS ELETRICOS; 196.381,19 
BOBINA FINA DE AÇO PARA PISO; 167.581,21 
BOBINA GROSSA DE AÇO; 175.519,08 
BOBINA GROSSA DE AÇO DECAPADA; 223.951,42 
BOBINA LAMINADA A FRIO; 406.044,48 
BOBINA LAMINADA A QUENTE DE AÇO; 230.938,80 
Bobina Quente Aco 3 =<e4,75 LE>=355; 139.171,51 
Bobina Quente Aco C 3=<e<4,75 LE<355; 117.314,47 
Bobina Quente aco C 4,75=<e=<10; 121.314,62 
BOBINA QUENTE AÇO C E<3 LE<275; 129.743,32 
Bobina Quente Aco C e<3 LE>=275; 132.013,13 
BOBINA QUENTE AÇO C E>10 LE<355; 111.330,80 
BOBINAS; 38.014,73 
BOBL180 B C BR 2600X1800 CO 01 000; 86.080,91 
BOLA DE AÇO; 337.044,15 
BOLAS 12,5 DUROMAX - D; 516.349,87 
BOLAS 12,5 Duromax-d; 547.747,54 
BOLAS 12,5MM Duromax D; 523.833,33 
"BOLAS 13MM 1/2¨"" Duromax"; 510.008,91 
BORATO DUPLO DE CALCIO E SODIO NATURAL (ULEXITA), TEOR MIN B2O; 81.892,47 
BORATO DUPLO DE CALCIO E SODIO NATURAL (ULEXITA), TEOR MIN B2O3; 77.693,14 
BORRA DA DIGESTAO; 275,84 
BORRA DE ENXOFRE; 21.226,03 
BORRA DE ETE; 333,00 
BORRA ZINCO; 4.708,69 
BORRACHA NATURAL (CVG); 126.869,44 
BRACO VAL GAV G127837 (P); 43.362,17 
BRIQUETE; 111.781,45 
BRIQUETE  SILICIO; 73.281,59 
BRIQUETE COM PODER CALORIFICO; 2.455,00 
BRIQUETE COMBUSTIVEL BBC; 83.938,31 
BRIQUETE DE FERRO CTF; 91.355,43 
BRIQUETE DE FERRO E ZINCO; 2.887,00 
BRIQUETE DE PELLET CARBERTO SILICIO; 18.000,00 
BRITA; 2.767,35 
"BRITA ""1"""; 3.283,80 
BRITA 0; 2.952,00 
BRITA 1; 1.533,04 
BRITA 3; 1.222,79 
BRITA GRADUADA; 1.210,53 
BRITA NUMERO 00; 1.911,00 
"BRITA;2,16-50MM;FORN:GRAN"; 1.428,57 
BS 00.15.15 + 7%S; 67.414,30 
BS100487 MGUGAN 2147 BZ; 474.248,77 
BSIC90 04F BBI000 - BLACK SILICON CARBIDE 90% 04F; 262.025,00 
BSPU51-SN XGCH 4040; 139.917,03 
BTEU G-00 A 00 GRANEL CACAMBA REV; 58.793,73 
BTEU G-00 GRANEL CAÇAMBA REV; 57.638,10 
BTR 11,11 1020A 6000 FX26 FMRERE; 4.351,79 
BTR 12,00 1020L 6000 FX26 222MI; 16.696,56 
BTR 15,00 1020L 6000 FX26 222MI; 32.854,16 
BTR 19,05 1020L 6000 FX26 222MI; 9.531,01 
BTR 20,20 1045D 6000 FX50 MARCHETTI; 16.583,18 
BTR 22,22 1045D 6000 FX26 253MI; 19.031,48 
CA 60 GERDAU 5MM RT 12M; 84.400,20 
CA30/41 MGUKI 3567; 132.980,69 
CA30/41 NGUKI 3568; 509.479,13 
CA50 12,50 MM RETO 12,0 M FX 2000 KG; 107.834,53 
CA50 20,00 MM RETO 12,0 M FX 2000 KG BP; 41.661,37 
CA50 6,30 MM RETO 12,0 M FX 2000 KG; 66.185,78 
CABEÇA MAG PRO PUTZMEISTER (S); 1.666,48 
CACO DE VIDRO DE EMBALAGEM MISTO SUJO; 4.613,04 
CACO MISTO; 21.070,26 
CACO VIDRAÇA TERCEIRO; 21.234,40 
C-AFR SOLIDO COMB ALT MOINHA CARVAO VEGET-3004710-CLASSE II; 5.382,00 
CAL  VIRGEM CALCITICA; 21.958,66 
CAL CALCITICA DE BAIXA QUALIDADE; 46,27 
CAL HIDRATADA  INDUSTRIAL EMBALAD0; 18.334,97 
CAL HIDRATADA INDUSTRIAL; 14.560,71 
CAL HIDRATADA INDUSTRIAL EMBALADO; 19.616,22 
CAL LD; 32.638,73 
CAL VIRG CALCITIC GRAN 88P; 17.024,99 
CAL VIRGEM; 29.389,06 
CAL VIRGEM - 10 A 40 MM; 22.505,68 
CAL VIRGEM 00/03 MM; 35.841,97 
CAL VIRGEM 00/20 MM; 30.353,49 
CAL VIRGEM 00/20MM; 31.354,25 
CAL VIRGEM 02/06 MM; 15.512,61 
CAL VIRGEM 02/19 MM; 29.599,42 
CAL VIRGEM 02/19MM; 25.887,43 
CAL VIRGEM 10/40 MM; 26.877,11 
CAL VIRGEM 10/40 MM EMBALADA; 25.003,02 
CAL VIRGEM 10-40 MM; 22.439,75 
CAL VIRGEM BRITADA 1; 26.588,29 
CAL VIRGEM BRITADA BX FOSFORO; 20.057,97 
CAL VIRGEM BRITINHA 3 A 19 MM; 31.060,80 
CAL VIRGEM CALCITICA; 32.819,55 
CAL VIRGEM CALCITICA 03 A 19 MM; 25.377,79 
CAL VIRGEM CALCITICA 05 A 19 MM; 53.546,49 
CAL VIRGEM CALCITICA 10 A 40 MM; 55.175,08 
CAL VIRGEM CALCITICA 3 A 19MM; 28.043,49 
CAL VIRGEM CALCITICA 3 A 6 MM; 22.769,45 
CAL VIRGEM CALCITICA CISNE MICRO; 12.274,35 
CAL VIRGEM CALCITICA GRAN 3 A 19 MM; 30.432,20 
CAL VIRGEM CALCITICA GRAN 6 A 19 MM; 31.472,33 
CAL VIRGEM CALCITICA GRAN. 5 A 40 MM; 24.800,05 
CAL VIRGEM CALCITICA MICROPULVERIZADA; 27.749,03 
CAL VIRGEM CALCITICO 06 A 19 MM; 31.125,54 
CAL VIRGEM CALCITICO 10 A 40 MM; 61.192,60 
CAL VIRGEM CALCITICO 10 A 50MM; 52.154,85 
CAL VIRGEM CALCITICO 3 A 19 MM; 29.033,11 
CAL VIRGEM DE 19,0 A 44MM; 23.562,86 
CAL VIRGEM DOLO 00/10 MM; 12.101,08 
CAL VIRGEM DOLO 02/19 MM; 17.834,67 
CAL VIRGEM DOLO 10/40 MM; 28.403,94 
CAL VIRGEM DOLO 10/40 MM EMBALADO; 24.585,66 
CAL VIRGEM DOLO 10/44MM; 28.084,86 
CAL VIRGEM DOLOMITICA; 28.714,22 
CAL VIRGEM DOLOMITICA - BRITADA # 20 / # 50; 17.725,68 
CAL VIRGEM DOLOMITICA 10 A 40MM; 24.782,94 
CAL VIRGEM DOLOMITICA 10 A 50MM; 16.956,87 
CAL VIRGEM DOLOMITICA BRITADA; 23.890,73 
CAL VIRGEM DOLOMITICA LD 10 A 40; 29.594,36 
CAL VIRGEM GRANEL; 33.860,03 
CAL VIRGEM LD; 28.226,65 
CAL VIRGEM MP; 38.489,48 
CALC DOLOMITICO SIDERURGIA 22-60MM; 19.790,95 
CALC.BRITA DE 00 A 02 MM; 1.110,86 
CALCÁRIO; 2.219,94 
CALCARIO 0X5,7MM; 2.200,09 
CALCARIO AGRICOLA DOLOMITICO; 3.726,30 
CALCARIO AGRICOLA ECOPLAN; 3.326,40 
CALCARIO AGRICOLA GEOFERTIL; 5.252,29 
CALCARIO ALTO FORNO; 2.475,71 
CALCARIO BRITA; 1.117,54 
CALCÁRIO BRITADO; 2.005,20 
CALCARIO BRITADO MAGNESIANO P7; 2.373,10 
CALCARIO BRITADO P1 CALCITICO; 2.212,80 
CALCARIO CALC. INGR. ALIM ANIMAL 40; 4.496,00 
CALCARIO CALCITICO; 3.682,68 
CALCARIO CALCITICO 00/06 MM; 2.377,11 
CALCARIO CALCITICO 00-15 MM; 2.354,60 
CALCARIO CALCITICO 50 A 100 MM; 3.918,94 
CALCARIO CALCITICO BRITADO; 2.770,22 
CALCARIO CALCITICO BRITADO<9,5MM; 2.578,54 
CALCARIO CALCITICO MALHA 325; 8.963,57 
CALCARIO CALCITICO MALHA 9; 2.251,04 
CALCARIO CALCITICO MALHA 9 O-I; 2.217,81 
CALCARIO CALDEIRA NULL; 5.553,33 
CALCÁRIO DOLOMITICO; 5.597,22 
CALCARIO DOLOMITICO 15 - 50MM; 9.075,40 
CALCARIO DOLOMITICO 25/50 MM; 16.204,62 
CALCARIO DOLOMITICO FINO; 5.119,73 
CALCARIO DOLOMITICO GR; 6.413,65 
CALCARIO DOLOMITICO GRANULADO 04; 12.391,60 
CALCARIO DOLOMITICO PO A 06 MM; 3.930,84 
CALCARIO INDUSTRIAL PF; 16.116,69 
CALCARIO ITAU DOLO FILLER GR- NOB; 3.791,93 
CALCARIO ITAU DOLO PO GR- XAM; 3.798,23 
CALCARIO NORMAL 9/54 A GRANEL; 2.890,69 
CALCARIO SINTERIZACAO; 2.449,26 
CALCARIO SINTERIZACAO 0 X 5,7 MM; 1.776,13 
CALCINAÇÃO ELIMINAÇÃO TOTAL UMIDADE; 10.798,81 
CALHAUS,CASCALHO,PEDRAS; 8.955,67 
CAL-M10G-5-BR 500 KG BB L H08 J206; 476.748,13 
CAN 27 00 00 + 4%CA + 2,4MG pRedBC=30,00%; 50.310,97 
CAN 27 00 00 + 4%CA + 2,4MG S E G; 42.439,64 
CAN 27 00 00 NITRATO DE AMONIO E CALCIO 4%; 41.462,60 
CAN 27 CAN 27%N 4%CA 2,4%MG S.; 47.988,95 
CAN 27.00.00 + 4%CA + 2,4 % MG- S.E.G BA; 52.510,49 
CANT 1,3/4X1/8 7007A AR350 12M FX2T; 134.808,19 
CANT 4x1/2 A36 6m FX1,18t; 156.541,70 
CANT 6x1/2 7007AR415 12m FX4,2t; 147.753,30 
CANT 6X3/4 7007AR415 12m FX4,1t; 147.101,54 
CANT 6x3/8 7007ar415 12m FX3,99t; 109.171,69 
CANT 6x5/8 7007AR415 12m FX3,9t; 200.094,21 
CANT 8x5/8 7007ar415 12m FX4,088t; 156.300,09 
CANT 8X5/8 A572GR60 12,1m FX4,71t; 121.973,55 
CANTONEIRA  1 1/4X1/8 9; 116.026,67 
CANTONEIRA ASTM A572 GR 50 5/16X4; 139.442,90 
CARBOMIX LS010; 76.641,45 
CARBOMIX LS025; 67.053,93 
CARBOMIX LS027; 77.909,05 
CARBONATO DE CALCIO; 22.810,09 
CARBONATO DE MAGNEISO 19 MM BRITADO; 12.443,60 
CARBONATO DE SODIO IMPORTADO; 350.669,72 
CARBONATO DISSODICO - ANIDRO; 370.304,55 
CARBONETO DE SILICIO BRIQUETADO PEQUENO; 263.005,97 
CARBONETO DE SILICIO METALURGICO; 166.546,25 
CARBOP LS030; 62.568,47 
CARBOP LS031; 53.182,93 
CARBOVAM BZ; 40.098,43 
CARBOVAM PE VT 75 BQ; 306.201,71 
CARBOVAN; 46.385,45 
CARBOVAN PE; 300.711,75 
CAREPA; 11.594,76 
CAREPA - 34; 12.219,75 
CAREPA BRUTA LTQ WALKING BEAN/PUSHER; 0,26 
CAREPA DE AÇO; 0,35 
CAREPA DE ESCARFAGEM; 4.209,68 
CAREPA DE FERRO; 12.451,99 
CAREPA DE LAMINAÇAO; 4.786,29 
CAREPA GROSSA (INS); 4.752,75 
CAROÇO DE ALGODAO; 28.657,49 
CAROÇO MIX A GRANEL (KG); 33.236,75 
CAR-TC-K11-8BR 1000KG BB L H08 J204; 465.519,68 
CAR-TCK18S19BR 500 KG BB L H08 J206; 403.463,58 
CAR-TCK40-19BR 1000KG BB L H08 J204; 559.989,63 
CAR-TCV001-8BR 1000KG BB L H08 J204; 460.906,63 
CARVAO; 26.617,26 
CARVÃO ALE; 61.131,41 
CARVAO ALTO VOLATIL ARH; 68.571,76 
CARVAO ANTRACITO; 62.630,98 
CARVAO MEDIO VOLATILL MQQ; 51.174,02 
CARVAO METALURGICO; 59.433,21 
CARVAO MINERAL; 40.143,88 
CARVAO MINERAL 50MM GRANEL; 23.308,00 
CARVAO MINERAL 50MM PROCESSO - CALCINAÇAO; 24.634,51 
CARVAO MINERAL COPPA 10 AUSTRALIA MARITIMO; 35.762,68 
CARVAO MINERAL GRAN GRAN 0-50MM FRONTIER; 22.872,97 
CARVAO MINERAL METALURGICO; 56.938,10 
CARVAO MIX; 55.773,49 
CARVAO TERMICO; 30.133,66 
CARVAO THERMAL; 38.974,19 
CARVAO VEGETAL MOINHA; 80.663,01 
CARVÃO VEGETAL MOINHA PROPRIA; 0,20 
CASCA DE EUCALIPTO PENEIRADA; 4.076,01 
CASCA DE SOJA PELETIZADA; 32.669,00 
CASCALHO DE MAGNESITA CALC; 383,10 
CAS-F24-5-BR 20 KG PS K F04 J022; 411.940,97 
CAS-SBTCK195BR 1000KG BB L H08 J204; 583.487,24 
CATODO PRIMARIO; 4.070,00 
CAVACO SU0700002; 44.208,16 
CBCC (TM) Escoria; 39.841,41 
CBCC(TM) ESCORIA; 44.854,07 
CBS APARAS DE BLOCO 93%; 94.244,68 
CBS G FINOS DE CARBONO 5 A 10 MM; 35.771,20 
CBS SUCATA FERROSA LEVE; 75.602,79 
CCPB G-03  A 15 GRANEL CAÇAMBA; 81.231,05 
CCPB G-03 A 15 GRANEL CACAMBA; 80.025,39 
CCPB G-03 A 15 GRANEL CAÇAMBA; 81.148,23 
CERNAMBI A GRANEL - BT; 367.360,80 
CG DO LCG - C  4,75/10; 206.324,22 
CG DO LCG - C #4,75/10; 178.032,79 
CG DO LCG - C > 10; 213.009,73 
CG FINOS SI; 155.241,96 
CG WS350-44,500X2440X1200mm; 339.301,52 
CH CHI MASSICAL BAGS C.CIVIL; 7.074,20 
CH CHI MASSICAL GRANEL H-02 C CIVIL; 13.289,64 
CH SUPERCAL INDUSTRIAL A GRANEL; 25.778,71 
CHAMOTE MULIL; 154.889,34 
CHAMOTE MULIL 60% BRUTO; 121.426,41 
CHAMOTE ROSA PONTE ALTA; 89.285,56 
CHAPA; 31.800,00 
CHAPA FQ; 129.810,44 
CHAPA FQ 2,25 X 120 X 4234 MM SAE 1010; 100.949,50 
